DAILY PRESSURE=101538 Pa
milliseconds, deg_Centigrade, pascals, meters
192,27,101534,0
785,27,101538,0
1378,27,101534,0
1972,27,101532,0
2566,27,101537,0
3160,27,101526,0
3752,27,101527,0
4346,27,101529,0
4940,27,101536,0
5534,27,101529,0
6127,27,101533,0
6721,27,101532,0
7315,27,101536,0
7909,27,101530,0
8503,27,101529,0
9097,27,101529,0
9690,27,101534,0
10284,27,101525,0
10878,27,101529,0
11473,27,101525,0
12068,27,101526,0
12663,27,101525,0
13258,27,101532,0
13853,27,101529,1
14447,27,101529,0
15042,27,101533,0
15637,27,101527,0
16232,27,101522,0
16827,27,101529,0
17422,27,101518,1
18017,27,101521,1
18612,27,101523,1
19207,27,101522,1
19802,27,101512,1
20396,27,101509,1
20990,27,101512,1
21585,27,101512,1
22180,27,101512,2
22775,27,101512,1
23370,27,101521,1
23965,27,101520,1
24560,27,101521,0
25155,27,101521,0
25749,27,101526,1
26344,27,101517,1
26939,27,101518,1
27534,27,101512,1
28129,27,101513,1
28724,27,101502,2
29319,27,101505,2
29914,27,101502,2
30509,27,101499,3
31102,26,101496,2
31697,26,101494,3
32292,26,101487,3
32887,26,101491,4
33482,26,101487,3
34077,26,101492,3
34672,26,101485,4
35267,26,101485,4
35862,26,101480,4
36456,26,101486,4
37051,26,101485,4
37646,26,101487,3
38241,26,101491,3
38836,26,101495,3
39431,26,101494,3
40026,26,101495,3
40621,26,101494,3
41216,26,101493,3
41809,26,101494,3
42404,26,101495,3
42999,26,101489,3
43594,26,101494,3
44189,26,101502,2
44784,26,101511,2
45379,26,101507,2
45974,26,101516,1
46569,26,101517,1
47163,26,101526,1
47758,26,101526,0
48353,26,101530,0
48948,26,101524,0
49543,26,101527,0
50138,26,101519,0
50733,26,101529,0
51328,26,101518,0
51922,26,101526,0
52516,26,101520,0
53111,26,101522,0
53706,26,101521,1
54301,26,101522,1
54896,26,101529,0
55491,26,101529,0
56086,26,101531,0
56681,26,101528,0
57276,26,101528,0
57871,26,101520,0
58465,26,101524,0
